date,fgi,rating
2021-05-12,29.251282051282057,fear
2021-05-13,34.733333333333334,fear
2021-05-14,35.733333333333334,fear
2021-05-17,35.6,fear
2021-05-18,34.833333333333336,fear
2021-05-19,31.86666666666666,fear
2021-05-20,33.36666666666667,fear
2021-05-21,29.700000000000003,fear
2021-05-24,29.866666666666664,fear
2021-05-25,26.599999999999994,fear
2021-05-26,28.933333333333334,fear
2021-05-27,29.866666666666664,fear
2021-05-28,31.933333333333334,fear
2021-06-01,35.0,fear
2021-06-02,42.06666666666666,fear
2021-06-03,41.599999999999994,fear
2021-06-04,42.76666666666667,fear
2021-06-07,43.73333333333333,fear
2021-06-08,45.9,neutral
2021-06-09,46.63333333333333,neutral
2021-06-10,49.86666666666667,neutral
2021-06-11,52.5,neutral
2021-06-14,54.099999999999994,neutral
2021-06-15,51.86666666666667,neutral
2021-06-16,44.699999999999996,fear
2021-06-17,42.76666666666666,fear
2021-06-18,31.8,fear
2021-06-21,33.43333333333333,fear
2021-06-22,32.36666666666667,fear
2021-06-23,33.833333333333336,fear
2021-06-24,37.233333333333334,fear
2021-06-25,41.833333333333336,fear
2021-06-28,41.53333333333334,fear
2021-06-29,40.03333333333334,fear
2021-06-30,37.96666666666667,fear
2021-07-01,39.06666666666667,fear
2021-07-02,38.6,fear
2021-07-06,33.06666666666667,fear
2021-07-07,32.333333333333336,fear
2021-07-08,26.866666666666664,fear
2021-07-09,31.533333333333335,fear
2021-07-12,33.06666666666667,fear
2021-07-13,30.33333333333333,fear
2021-07-14,29.63333333333333,fear
2021-07-15,26.8,fear
2021-07-16,22.63333333333333,extreme fear
2021-07-19,13.807443365695795,extreme fear
2021-07-20,20.633333333333336,extreme fear
2021-07-21,24.46666666666667,extreme fear
2021-07-22,25.200000000000003,fear
2021-07-23,29.133333333333336,fear
2021-07-26,30.700000000000006,fear
2021-07-27,27.36666666666667,fear
2021-07-28,27.466666666666658,fear
2021-07-29,30.433333333333334,fear
2021-07-30,26.466666666666665,fear
2021-08-02,24.366666666666664,extreme fear
2021-08-03,29.799999999999997,fear
2021-08-04,27.333333333333332,fear
2021-08-05,32.533333333333324,fear
2021-08-06,32.53333333333334,fear
2021-08-09,32.0,fear
2021-08-10,34.266666666666666,fear
2021-08-11,35.6,fear
2021-08-12,38.96666666666667,fear
2021-08-13,41.43333333333333,fear
2021-08-16,46.76666666666667,neutral
2021-08-17,36.733333333333334,fear
2021-08-18,20.59278350515464,extreme fear
2021-08-19,19.112925170068028,extreme fear
2021-08-20,24.433333333333334,extreme fear
2021-08-23,28.166666666666668,fear
2021-08-24,33.96666666666667,fear
2021-08-25,38.9,fear
2021-08-26,33.733333333333334,fear
2021-08-27,44.76666666666667,fear
2021-08-30,49.96666666666667,neutral
2021-08-31,45.300000000000004,neutral
2021-09-01,47.13333333333333,neutral
2021-09-02,46.96666666666666,neutral
